WMI   VDS     Year
137   DA833   T
137   DA843   T
137   DA893   T
137   DA903   T
137   FA833   3
137   FA833   4
137   FA833   5
137   FA843   1
137   FA843   2
137   FA843   3
137   FA843   4
137   FA843   5
137   FA903   1
137   FA903   2
137   FA903   3
137   FA903   4
137   FA903   5
137   PH843   6
137   PH903   6
137   YA833   T
137   YA833   V
137   YA833   W
137   YA843   T
137   YA843   V
137   YA843   W
137   YA893   T
137   YA893   V
137   YA893   W
137   YA903   T
137   YA903   V
137   YA903   W
137   ZA833   1
137   ZA833   T
137   ZA833   V
137   ZA833   W
137   ZA833   X
137   ZA833   Y
137   ZA843   1
137   ZA843   T
137   ZA843   V
137   ZA843   W
137   ZA843   X
137   ZA843   Y
137   ZA893   1
137   ZA893   T
137   ZA893   V
137   ZA893   W
137   ZA893   X
137   ZA893   Y
137   ZA903   1
137   ZA903   T
137   ZA903   V
137   ZA903   W
137   ZA903   X
137   ZA903   Y
19U   UA564   X
19U   UA565   X
19U   UA566   1
19U   UA566   2
19U   UA566   3
19U   UA566   Y
19U   UA567   1
19U   UA567   2
19U   UA567   3
19U   UA567   Y
19U   UA568   2
19U   UA568   3
19U   UA569   2
19U   UA569   3
19U   UA655   4
19U   UA655   5
19U   UA655   6
19U   UA656   4
19U   UA656   5
19U   UA656   6
19U   UA662   4
19U   UA662   5
19U   UA662   6
19U   UA662   7
19U   UA662   8
19U   UA755   7
19U   UA755   8
19U   UA756   7
19U   UA756   8
19U   UA765   7
19U   UA765   8
19U   UA766   7
19U   UA766   8
19U   UA862   9
19U   UA865   9
19U   UA8F2   A
19U   UA8F2   B
19U   UA8F5   A
19U   UA8F5   B
19U   UA962   9
19U   UA965   9
19U   UA9E5   A
19U   UA9E5   B
19U   UA9F2   A
19U   UA9F2   B
19U   UA9F5   A
19U   UA9F5   B
19U   YA114   V
19U   YA115   V
19U   YA124   V
19U   YA125   V
19U   YA224   V
19U   YA224   W
19U   YA225   V
19U   YA225   W
19U   YA225   X
19U   YA314   W
19U   YA315   W
19U   YA315   X
19U   YA324   W
19U   YA325   W
19U   YA325   X
19U   YA416   3
19U   YA417   3
19U   YA424   1
19U   YA424   2
19U   YA424   3
19U   YA425   1
19U   YA425   2
19U   YA425   3
19U   YA426   1
19U   YA426   2
19U   YA426   3
19U   YA427   1
19U   YA427   2
19U   YA427   3
19X   FA152   9
19X   FA153   9
19X   FA155   9
19X   FA156   9
19X   FA158   9
19X   FA159   9
19X   FA162   9
19X   FA163   9
19X   FA165   9
19X   FA166   9
19X   FA168   9
19X   FA169   9
19X   FA1E2   A
19X   FA1E2   B
19X   FA1E3   A
19X   FA1E3   B
19X   FA1E5   A
19X   FA1E5   B
19X   FA1E6   A
19X   FA1E6   B
19X   FA1E8   A
19X   FA1E8   B
19X   FA1E9   A
19X   FA1F2   A
19X   FA1F2   B
19X   FA1F3   A
19X   FA1F3   B
19X   FA1F5   A
19X   FA1F5   B
19X   FA1F6   A
19X   FA1F6   B
19X   FA1F8   A
19X   FA1F8   B
19X   FA1F9   A
19X   FA1F9   B
19X   FA465   9
19X   FA4F5   A
19X   FA555   9
19X   FA5E5   A
19X   FA5E5   B
19X   FG1A2   A
19X   FG1A2   B
19X   FG1A6   A
19X   FG1A6   B
19X   FG1A8   A
19X   FG1A8   B
19X   FG1A9   A
19X   FG1A9   B
19X   FG1B2   A
19X   FG1B2   B
19X   FG1B6   A
19X   FG1B6   B
19X   FG1B8   A
19X   FG1B8   B
19X   FG1B9   A
19X   FG1B9   B
1A4   GJ45R   7
1A4   GP44R   6
1A4   GP44R   7
1A4   GP45R   6
1A4   GP45R   7
1A4   GP54L   6
1A4   GP54L   7
1A4   GP64L   6
1A4   GP64L   7
1A4   GR44E   9
1A4   GR44H   8
1A4   GR541   9
1A4   GR54P   8
1A4   GR54X   9
1A4   GR64X   8
1A4   GR64X   9
1A4   HR2D1   A
1A4   HR2DE   A
1A4   HR2DX   A
1A4   HR44E   9
1A4   HR44H   8
1A4   HR4D1   A
1A4   HR4DE   A
1A4   HR4DX   A
1A4   HR541   9
1A4   HR54P   8
1A4   HR54X   9
1A4   HR5D1   A
1A4   HR5DX   A
1A4   HR64X   8
1A4   HR64X   9
1A4   HR6DX   A
1A4   HR7DX   A
1A4   HR8D1   A
1A4   HR8DX   A
1A4   HW582   7
1A4   HW582   8
1A4   HW58N   7
1A4   HW58N   8
1A4   HW58P   7
1A4   HW58P   8
1A4   HW58P   9
1A4   HW58T   9
1A4   HX582   7
1A4   HX582   8
1A4   HX58N   7
1A4   HX58N   8
1A4   HX58P   7
1A4   HX58P   8
1A4   HX58P   9
1A4   HX58T   9
1A4   JR2D1   A
1A4   JR2DE   A
1A4   JR2DX   A
1A4   JR4D1   A
1A4   JR4DE   A
1A4   JR4DX   A
1A4   JR5D1   A
1A4   JR5DX   A
1A4   JR6DX   A
1A4   JR7DX   A
1A4   JR8D1   A
1A4   JR8DX   A
1A4   JW18T   9
1A4   PR2D1   A
1A4   PR2DE   A
1A4   PR2DX   A
1A4   PR4D1   A
1A4   PR4DE   A
1A4   PR4DX   A
1A4   PR5D1   A
1A4   PR5DX   A
1A4   PR6DX   A
1A4   PR7DX   A
1A4   PR8D1   A
1A4   PR8DX   A
1A4   RR2D1   A
1A4   RR2DE   A
1A4   RR2DX   A
1A4   RR4D1   A
1A4   RR4DE   A
1A4   RR4DX   A
1A4   RR5D1   A
1A4   RR5DX   A
1A4   RR6DX   A
1A4   RR7DX   A
1A4   RR8D1   A
1A4   RR8DX   A
1A8   GJ45R   7
1A8   GP44R   6
1A8   GP44R   7
1A8   GP45R   6
1A8   GP45R   7
1A8   GP54L   6
1A8   GP54L   7
1A8   GP64L   6
1A8   GP64L   7
1A8   GR44E   9
1A8   GR44H   8
1A8   GR541   9
1A8   GR54P   8
1A8   GR54X   9
1A8   GR64X   8
1A8   GR64X   9
1A8   HR44E   9
1A8   HR44H   8
1A8   HR541   9
1A8   HR54P   8
1A8   HR54X   9
1A8   HR64X   8
1A8   HR64X   9
1A8   HW582   7
1A8   HW582   8
1A8   HW58N   7
1A8   HW58N   8
1A8   HW58P   7
1A8   HW58P   8
1A8   HW58P   9
1A8   HW58T   9
1A8   HX582   7
1A8   HX582   8
1A8   HX58N   7
1A8   HX58N   8
1A8   HX58P   7
1A8   HX58P   8
1A8   HX58P   9
1A8   HX58T   9
1A8   JW18T   9
1B3   AB1HA   A
1B3   AB1HA   B
1B3   AB1HB   B
1B3   AB2HA   A
1B3   AB2HA   B
1B3   AB2HB   B
1B3   AB3HA   A
1B3   AB3HA   B
1B3   AB4HA   A
1B3   AB5HA   A
1B3   AB7HB   A
1B3   AB8HB   A
1B3   AB9HA   A
1B3   AB9HA   B
1B3   AB9HB   A
1B3   AD1FB   B
1B3   AD1FG   B
1B3   AD2FB   B
1B3   AD2FG   B
1B3   AD4FB   B
1B3   AD4FG   B
1B3   AJ46U   1
1B3   AJ46X   1
1B3   AJ56U   1
1B3   AL36J   4
1B3   AL36J   5
1B3   AL36R   2
1B3   AL36R   4
1B3   AL36T   3
1B3   AL36T   4
1B3   AL36X   2
1B3   AL36X   3
1B3   AL36X   4
1B3   AL36X   5
1B3   AL46J   4
1B3   AL46J   5
1B3   AL46R   2
1B3   AL46R   5
1B3   AL46R   6
1B3   AL46T   3
1B3   AL46T   5
1B3   AL46T   6
1B3   AL46X   2
1B3   AL46X   3
1B3   AL46X   4
1B3   AL46X   5
1B3   AL46X   6
1B3   AL56R   2
1B3   AL56R   4
1B3   AL56T   3
1B3   AL56T   4
1B3   AL66R   5
1B3   AL66R   6
1B3   AL76R   2
1B3   AL76R   3
1B3   AL76R   4
1B3   AL76R   5
1B3   AL76R   6
1B3   AL76T   3
1B3   AR65E   1
1B3   AR65E   2
1B3   AR65Z   3
1B3   AR69E   1
1B3   AR69E   2
1B3   AS26C   2
1B3   AS26C   3
1B3   AS26C   4
1B3   AS26C   5
1B3   AS46C   1
1B3   AS46C   2
1B3   AS46F   1
1B3   AS56C   2
1B3   AS56C   3
1B3   AS56C   4
1B3   AS56C   5
1B3   AS66F   2
1B3   AS66S   4
1B3   AS66S   5
1B3   AS66X   3
1B3   AS76C   2
1B3   AS76F   2
1B3   AS76F   3
1B3   AS76F   4
1B3   BB1HA   A
1B3   BB1HA   B
1B3   BB1HB   B
1B3   BB2HA   A
1B3   BB2HA   B
1B3   BB2HB   B
1B3   BB3HA   A
1B3   BB3HA   B
1B3   BB4HA   A
1B3   BB5HA   A
1B3   BB7HB   A
1B3   BB8HB   A
1B3   BB9HA   A
1B3   BB9HA   B
1B3   BB9HB   A
1B3   BC1FB   A
1B3   BC4FB   A
1B3   BC4FD   A
1B3   BC5FB   A
1B3   BC5FD   A
1B3   BC5FV   A
